# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = WSLS_model
# start_datetime = 2024-03-06 10:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpyU5IGk/standata-4f1077b72f55.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-202403061136-1-4cb121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-profile-202403061136-1-0e0b63.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=WSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,winprob,lossprob
# Adaptation terminated
# Step size = 0.29112
# Diagonal elements of inverse mass matrix:
# 0.21494, 0.0831789
-59.0406,0.984885,0.29112,3,7,0,59.5166,2.57485,1.71922
-59.2928,0.997188,0.29112,2,3,0,59.3761,2.61336,1.76325
-57.4141,1,0.29112,4,15,0,59.2549,2.77524,1.12019
-57.4119,0.995388,0.29112,2,7,0,57.8131,2.7775,1.27721
-57.5793,0.986825,0.29112,2,7,0,58.4402,2.70151,1.38499
-57.5006,0.999705,0.29112,4,15,0,57.7446,2.49433,1.20838
-57.4087,0.972154,0.29112,2,7,0,59.5713,2.73958,1.11877
-57.7191,0.996126,0.29112,3,15,0,57.8285,3.10119,1.23775
-57.5081,0.999712,0.29112,3,7,0,57.8016,2.94115,1.25955
-57.4659,0.999825,0.29112,3,7,0,57.546,2.87087,1.28299
-57.7281,0.975126,0.29112,3,11,0,59.6759,3.11129,1.19323
-57.3691,0.990013,0.29112,4,15,0,59.2863,2.75121,1.19062
-58.0324,0.98716,0.29112,3,9,0,58.4484,3.06392,1.44945
-57.5011,0.976066,0.29112,4,15,0,61.5136,2.85314,1.32048
-57.4702,0.997593,0.29112,4,15,0,57.8895,2.60916,1.09281
-58.6367,0.98549,0.29112,3,7,0,58.7898,3.03943,0.802073
-58.2509,0.999903,0.29112,3,15,0,58.9561,2.71789,0.830087
-60.0512,0.981834,0.29112,3,15,0,60.5278,3.36567,1.73993
-59.776,0.999932,0.29112,4,15,0,61.4961,3.50541,1.61777
-57.5638,0.999895,0.29112,3,7,0,59.931,2.78734,1.37303
-57.3786,0.971248,0.29112,2,7,0,60.5215,2.65934,1.17641
-58.2053,0.964623,0.29112,2,7,0,59.8092,2.87875,0.853216
-57.9794,0.996361,0.29112,4,15,0,59.1271,3.23018,1.155
-57.8443,0.999261,0.29112,3,15,0,58.2568,2.31185,1.14115
-57.5126,0.999602,0.29112,4,15,0,57.9541,2.95824,1.23584
-58.0302,0.983152,0.29112,3,9,0,59.1157,2.23207,1.21328
-57.4753,1,0.29112,3,15,0,58.1145,2.84586,1.30541
-58.1065,0.994792,0.29112,4,15,0,58.1606,3.0462,1.48088
-57.8477,0.997502,0.29112,1,3,0,58.3085,2.9922,1.42093
-58.2516,0.994633,0.29112,3,7,0,58.3971,2.92871,1.55698
-58.5237,0.998825,0.29112,4,15,0,58.8497,2.67384,0.778557
-57.7309,0.995759,0.29112,3,7,0,59.1978,2.39534,1.08692
-58.6514,0.98052,0.29112,3,7,0,59.2868,2.7849,0.757087
-57.9673,0.999463,0.29112,2,3,0,58.7243,2.81357,0.900065
-57.502,0.999797,0.29112,3,15,0,58.1151,2.85928,1.31832
-57.4546,0.999163,0.29112,3,11,0,57.6005,2.56708,1.13326
-58.0391,0.984839,0.29112,3,11,0,58.4816,2.23253,1.15758
-60.835,0.95158,0.29112,3,7,0,61.9618,2.21517,1.88328
-64.6997,0.937951,0.29112,4,15,0,65.7665,4.34306,0.599449
-61.8615,1,0.29112,3,7,0,66.4163,4.19466,1.41628
-58.8401,1,0.29112,3,7,0,62.4429,3.27556,1.55454
-57.6239,0.998832,0.29112,3,11,0,59.1778,2.67589,1.00095
-58.1365,0.991043,0.29112,3,15,0,58.5401,2.22134,1.09029
-57.7849,1,0.29112,2,3,0,58.1632,2.3732,1.07866
-57.7275,0.99303,0.29112,4,15,0,58.7022,2.7414,1.44149
-57.437,0.994171,0.29112,2,7,0,58.3362,2.62038,1.1149
-57.8275,0.994183,0.29112,3,7,0,57.8297,2.44293,0.999508
-57.5717,0.989429,0.29112,4,15,0,59.3092,3.00937,1.22396
-58.8222,0.982103,0.29112,3,7,0,58.9072,3.32887,0.890524
-59.509,0.996685,0.29112,4,15,0,59.7199,3.29167,0.736463
-57.9081,0.999152,0.29112,3,7,0,59.9844,2.28112,1.24162
-57.5786,0.998241,0.29112,4,15,0,58.352,2.95721,1.30964
-57.4581,0.999204,0.29112,3,15,0,57.7697,2.74189,1.08038
-57.7262,0.988454,0.29112,3,9,0,58.4722,2.66859,1.43925
-57.3827,0.999698,0.29112,3,11,0,57.8017,2.64034,1.1893
-57.3975,0.997733,0.29112,4,15,0,57.6369,2.80275,1.24736
-57.7154,0.990779,0.29112,3,11,0,58.1207,2.70196,0.966691
-57.3904,0.999445,0.29112,3,15,0,57.843,2.79344,1.15881
-57.5992,0.963129,0.29112,2,7,0,60.7533,2.85135,1.37479
-57.5071,0.993852,0.29112,2,7,0,58.3188,2.67322,1.05392
-57.7808,0.974519,0.29112,2,7,0,59.4095,3.14005,1.20644
-58.5877,0.971453,0.29112,3,11,0,60.7128,2.36353,1.57934
-58.3098,1,0.29112,3,7,0,58.6783,2.32963,1.49299
-58.0312,0.999471,0.29112,3,7,0,58.4829,2.36908,1.43161
-58.4209,0.97445,0.29112,3,11,0,60.0136,3.33347,1.02129
