# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_MemoryBernoulli_model
# start_datetime = 2024-02-26 12:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac265bcf4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-202402261305-1-21ec3d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-profile-202402261305-1-18cddb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_MemoryBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias,beta
# Adaptation terminated
# Step size = 0.268705
# Diagonal elements of inverse mass matrix:
# 0.0504955, 0.0344792
-78.694,0.999771,0.268705,3,7,0,79.0972,-0.049979,0.511822
-78.3211,0.996949,0.268705,3,15,0,78.9491,0.0342373,0.359511
-78.4324,0.998788,0.268705,3,15,0,78.9113,0.405475,0.183273
-81.6898,0.929995,0.268705,3,15,0,82.5096,0.764103,0.106071
-84.8033,0.888724,0.268705,2,3,0,84.8191,0.898456,0.163099
-80.4921,0.994677,0.268705,3,7,0,86.388,0.0675866,0.0822863
-80.0198,0.959751,0.268705,3,15,0,83.1525,0.569282,0.233703
-78.2986,1,0.268705,3,7,0,80.2323,0.347841,0.25378
-78.5247,0.997873,0.268705,3,15,0,78.8809,0.362475,0.0968459
-78.3022,0.998349,0.268705,2,5,0,78.6317,0.365213,0.165308
-78.5296,0.987163,0.268705,4,15,0,78.933,0.232269,0.136398
-78.4733,0.981024,0.268705,3,7,0,79.5338,0.391379,0.11483
-79.9794,0.955866,0.268705,3,7,0,80.8606,0.475713,-0.0879011
-79.0027,1,0.268705,3,7,0,80.2076,0.430138,0.0201714
-78.301,0.996725,0.268705,3,15,0,79.5322,0.321731,0.291425
-78.0763,0.9995,0.268705,3,11,0,78.5642,0.128913,0.347955
-78.0924,0.998408,0.268705,3,7,0,78.1194,0.157332,0.363906
-78.3906,0.99552,0.268705,3,15,0,78.5005,0.114804,0.455183
-78.4579,0.988248,0.268705,3,15,0,80.1738,0.410265,0.187017
-78.3719,0.998497,0.268705,3,7,0,78.5585,0.323171,0.129745
-78.5367,0.989839,0.268705,3,11,0,80.6993,0.00810173,0.496491
-78.1486,0.999304,0.268705,3,9,0,78.6733,0.0895387,0.345279
-78.0303,0.999383,0.268705,3,15,0,78.4537,0.22335,0.272818
-78.9684,0.974709,0.268705,4,15,0,79.3541,-0.0126464,0.285981
-78.1683,1,0.268705,3,15,0,79.0416,0.25345,0.327813
-78.721,0.986952,0.268705,3,7,0,78.8883,0.372322,0.315156
-79.5422,0.958265,0.268705,2,7,0,80.6278,0.0221554,0.189667
-80.0924,0.993806,0.268705,3,7,0,80.3587,0.524098,0.301342
-78.6325,1,0.268705,2,3,0,80.178,0.438135,0.199072
-78.5843,1,0.268705,2,3,0,78.6568,0.426726,0.207016
-82.9612,0.970938,0.268705,3,15,0,84.539,-0.531067,0.863355
-82.4128,0.998732,0.268705,2,3,0,83.0481,-0.49328,0.815124
-81.7262,0.990188,0.268705,3,7,0,82.894,-0.343219,0.85652
-78.5266,0.994601,0.268705,3,15,0,84.2378,0.349182,0.0971341
-78.0403,0.999614,0.268705,3,15,0,78.6697,0.233467,0.287153
-78.133,0.994755,0.268705,3,7,0,78.3261,0.301246,0.209075
-79.3418,0.93627,0.268705,3,11,0,81.002,0.108702,0.574985
-79.455,0.972816,0.268705,2,3,0,80.0902,0.151503,0.562746
-78.8192,0.976713,0.268705,3,15,0,82.3407,0.444608,0.237508
-79.0124,0.995533,0.268705,3,7,0,79.1089,0.228584,0.0837526
-79.3754,0.974121,0.268705,3,15,0,81.6658,-0.0117196,0.623074
-79.3895,1,0.268705,3,7,0,79.4961,-0.0362553,0.629715
-78.9869,0.999613,0.268705,3,7,0,79.4751,-0.122521,0.490653
-80.0219,0.996675,0.268705,3,7,0,80.1697,-0.195242,0.701449
-78.9919,0.980137,0.268705,3,11,0,81.6354,-0.0343364,0.309075
-78.6809,0.999128,0.268705,3,11,0,79.7446,-0.0186073,0.523949
-78.9286,0.995062,0.268705,3,7,0,78.9673,0.013478,0.564411
-78.7986,0.959878,0.268705,2,7,0,80.6768,-0.0495587,0.364813
-78.4807,0.999214,0.268705,3,13,0,79.0562,0.368397,0.27552
-78.1923,0.984485,0.268705,2,7,0,79.1938,0.333399,0.213108
-78.2509,0.97095,0.268705,3,11,0,79.2909,0.0586212,0.344178
-78.837,0.939698,0.268705,3,11,0,81.2556,0.478508,0.0732309
