# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_model
# start_datetime = 2024-02-26 09:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac701461c4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-202402261028-2-0a37f7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-profile-202402261028-2-594215.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.337039
# Diagonal elements of inverse mass matrix:
# 0.0514756
-65.8467,0.94826,0.337039,2,3,0,65.8474,0.680753
-65.1374,0.99723,0.337039,2,3,0,66.0875,0.692279
-65.0265,1,0.337039,1,1,0,65.199,0.694176
-63.5751,0.981361,0.337039,1,3,0,65.8547,0.722545
-63.7009,0.995498,0.337039,1,1,0,63.7152,0.719739
-63.0398,0.996392,0.337039,2,3,0,63.9535,0.735686
-62.3564,0.98407,0.337039,1,3,0,63.7849,0.757597
-62.4292,0.998019,0.337039,2,3,0,62.4689,0.754769
-62.4644,0.998835,0.337039,1,1,0,62.4696,0.753461
-63.0822,0.977715,0.337039,4,15,0,64.2744,0.734558
-62.6772,0.997359,0.337039,2,3,0,63.2582,0.746229
-62.7512,0.997498,0.337039,1,1,0,62.7544,0.743925
-61.8761,0.986787,0.337039,2,7,0,63.6859,0.791639
-61.9167,0.999279,0.337039,3,7,0,61.9174,0.783979
-61.8809,0.973225,0.337039,4,15,0,63.8558,0.800014
-61.9533,0.998172,0.337039,2,5,0,61.9932,0.809578
-61.8742,0.99945,0.337039,2,7,0,62.0045,0.79248
-61.8811,0.986405,0.337039,4,15,0,62.8576,0.790046
-62.0463,0.994714,0.337039,3,9,0,62.1815,0.816102
-61.9816,0.990143,0.337039,3,7,0,62.6696,0.811857
-63.8781,0.965623,0.337039,3,9,0,64.209,0.86143
-63.6128,0.999505,0.337039,4,15,0,64.1262,0.721693
-63.6062,1,0.337039,1,1,0,63.6679,0.721841
-63.04,0.99555,0.337039,2,3,0,63.8796,0.73568
-63.0521,0.99986,0.337039,2,3,0,63.0851,0.735356
-63.1345,0.997136,0.337039,1,1,0,63.1448,0.733188
-63.3064,0.993849,0.337039,3,7,0,63.7222,0.728863
-62.6694,0.992188,0.337039,1,3,0,63.6739,0.746476
-63.2673,0.973774,0.337039,1,3,0,63.6055,0.729826
-62.868,1,0.337039,2,3,0,63.2842,0.740459
-63.6754,0.912988,0.337039,3,11,0,67.6458,0.858341
-64.7271,0.989403,0.337039,3,7,0,64.8792,0.872571
-64.5989,1,0.337039,1,1,0,64.7412,0.871041
-63.7533,1,0.337039,2,3,0,64.5823,0.859552
-62.5765,0.996375,0.337039,3,9,0,64.2048,0.749526
-62.3282,0.999514,0.337039,3,7,0,62.6658,0.758745
-62.3437,0.999493,0.337039,1,1,0,62.3518,0.758109
-62.2848,0.996592,0.337039,3,7,0,62.6412,0.760579
-62.1438,0.999718,0.337039,3,7,0,62.3369,0.767273
-61.8818,0.979104,0.337039,2,7,0,63.3926,0.789852
-62.1989,0.989082,0.337039,3,11,0,62.4637,0.764498
-61.9966,0.99948,0.337039,3,7,0,62.2627,0.776425
-62.0098,0.999942,0.337039,3,7,0,62.0099,0.775443
-62.1122,0.995652,0.337039,1,3,0,62.1766,0.76898
-62.2421,0.996827,0.337039,2,3,0,62.244,0.762472
-62.2174,1,0.337039,1,1,0,62.2437,0.763617
-62.1616,0.99956,0.337039,4,15,0,62.3335,0.76635
-62.3764,0.996759,0.337039,3,7,0,62.4256,0.756801
-62.2548,0.998363,0.337039,2,3,0,62.4708,0.761898
-62.9071,0.960324,0.337039,2,7,0,64.7279,0.844179
-63.0194,0.99738,0.337039,1,1,0,63.0194,0.846572
-62.0384,1,0.337039,4,15,0,62.9916,0.773453
-62.5513,0.943977,0.337039,2,7,0,65.3112,0.835411
-63.1125,0.993639,0.337039,3,7,0,63.1611,0.848453
-63.2053,0.997883,0.337039,1,1,0,63.208,0.850246
-62.2614,0.989597,0.337039,4,15,0,64.7277,0.826052
-61.9552,0.99919,0.337039,4,15,0,62.4234,0.809744
-62.8943,0.973257,0.337039,3,11,0,63.5869,0.843898
-61.9051,0.999689,0.337039,3,9,0,62.8763,0.785526
-62.179,0.989802,0.337039,2,7,0,62.4847,0.822716
-61.9974,0.999724,0.337039,3,7,0,62.2236,0.812991
-61.927,0.998006,0.337039,4,15,0,62.2255,0.807053
-61.8868,0.998808,0.337039,2,5,0,62.0119,0.801385
-61.8779,0.998922,0.337039,2,7,0,61.96,0.790999
-61.8804,0.999974,0.337039,3,9,0,61.8806,0.799869
-62.4524,0.979257,0.337039,2,7,0,63.1078,0.832525
-62.4979,0.998872,0.337039,1,1,0,62.4993,0.833884
-61.9283,1,0.337039,3,7,0,62.484,0.807191
-61.8994,0.999508,0.337039,1,3,0,61.9571,0.803599
-61.8786,0.999336,0.337039,2,5,0,61.9465,0.799359
-61.8816,0.99964,0.337039,2,7,0,61.9056,0.789902
-61.8721,0.998226,0.337039,2,7,0,61.9894,0.796041
-62.0178,0.994151,0.337039,2,7,0,62.212,0.814354
-62.2709,0.987168,0.337039,2,7,0,62.9199,0.761184
-61.9252,0.982372,0.337039,2,7,0,63.4819,0.806856
-61.9469,0.993532,0.337039,2,7,0,62.422,0.780672
-62.0057,0.986203,0.337039,2,7,0,62.7664,0.813562
-61.9423,0.955545,0.337039,2,7,0,65.2297,0.781131
-62.0887,0.992604,0.337039,2,7,0,62.4361,0.818443
-61.8812,0.965363,0.337039,2,7,0,64.6202,0.790021
-61.8857,0.999846,0.337039,2,3,0,61.8875,0.788914
-62.319,0.991015,0.337039,3,7,0,62.3823,0.759125
-62.2101,0.992014,0.337039,4,15,0,63.1105,0.763959
-62.1838,1,0.337039,1,1,0,62.2107,0.765233
-62.5046,0.984358,0.337039,1,3,0,62.781,0.752013
-62.7498,0.994236,0.337039,2,3,0,62.7688,0.743967
-63.6606,0.990143,0.337039,4,15,0,63.8705,0.858107
-63.1212,0.997452,0.337039,1,3,0,63.8913,0.848624
-62.732,0.998019,0.337039,1,3,0,63.2895,0.840127
-62.7181,0.999472,0.337039,3,9,0,62.8541,0.744944
-62.7658,0.999769,0.337039,3,7,0,62.7756,0.743482
-63.6148,0.958995,0.337039,1,3,0,64.237,0.721648
-61.9681,1,0.337039,3,11,0,63.5672,0.810815
-62.151,0.979543,0.337039,2,7,0,63.3851,0.766894
-61.9458,0.993953,0.337039,3,7,0,62.5696,0.780775
-63.8852,0.973207,0.337039,4,15,0,63.8963,0.715782
-63.6436,1,0.337039,1,1,0,63.877,0.721005
-61.9078,0.998358,0.337039,3,7,0,63.8673,0.785147
-62.2134,0.979066,0.337039,2,7,0,63.2513,0.82416
-62.2173,0.998814,0.337039,4,15,0,62.4202,0.76362
-62.5129,0.986496,0.337039,1,3,0,62.7213,0.751719
-61.8744,1,0.337039,3,9,0,62.499,0.792367
-62.4594,0.984492,0.337039,2,5,0,62.7571,0.832739
-62.2275,0.999928,0.337039,4,15,0,62.497,0.763143
-61.895,0.99981,0.337039,4,15,0,62.2904,0.802889
-61.9766,0.995329,0.337039,2,5,0,62.1847,0.811476
-61.8816,0.995664,0.337039,2,7,0,62.3501,0.800181
-61.888,0.998539,0.337039,2,7,0,61.9828,0.788442
-61.9862,0.997708,0.337039,3,9,0,62.0262,0.812192
-61.9296,0.996907,0.337039,3,9,0,62.215,0.782468
-61.893,0.999154,0.337039,2,5,0,61.9827,0.787477
-61.9807,0.992311,0.337039,2,7,0,62.378,0.81179
-62.9137,0.969745,0.337039,2,5,0,63.5222,0.844324
-62.9447,0.999759,0.337039,2,3,0,62.9584,0.844996
-62.4907,0.994727,0.337039,1,3,0,63.3077,0.833675
-63.0221,0.993934,0.337039,3,7,0,63.0647,0.846626
-62.0213,0.999577,0.337039,4,15,0,63.1705,0.774623
-62.1112,0.996543,0.337039,1,3,0,62.1542,0.769037
-62.0827,1,0.337039,1,1,0,62.1103,0.770676
-62.0293,0.999745,0.337039,3,9,0,62.1219,0.815078
-62.0215,1,0.337039,1,1,0,62.0304,0.814591
-61.9503,0.987727,0.337039,3,9,0,62.8413,0.780343
-61.9502,1,0.337039,1,1,0,61.9526,0.780357
-61.9469,1,0.337039,1,1,0,61.951,0.780675
-61.8891,0.995852,0.337039,2,7,0,62.2291,0.801833
-61.8965,0.999841,0.337039,2,3,0,61.8967,0.803133
-61.9238,0.998733,0.337039,1,3,0,61.9535,0.806709
-61.8959,0.982425,0.337039,2,7,0,63.1099,0.786964
-62.2747,0.98959,0.337039,2,5,0,62.5255,0.761017
-62.0307,0.999293,0.337039,3,7,0,62.3592,0.773974
-62.1257,0.996359,0.337039,1,3,0,62.1706,0.768239
-61.9646,1,0.337039,3,7,0,62.1248,0.779033
-61.9164,0.993426,0.337039,2,7,0,62.4459,0.805863
-61.9192,0.999716,0.337039,2,3,0,61.9317,0.806195
-61.92,0.999633,0.337039,3,9,0,61.9546,0.783574
-61.8741,0.990631,0.337039,2,7,0,62.4769,0.79762
-61.9181,0.995614,0.337039,2,7,0,62.1252,0.806061
-61.8876,0.99728,0.337039,2,7,0,62.1267,0.788508
-62.0132,0.996755,0.337039,2,5,0,62.0753,0.775195
-62.1857,0.969507,0.337039,2,7,0,63.8044,0.823003
-62.0692,1,0.337039,2,3,0,62.1826,0.817401
-62.0493,1,0.337039,1,1,0,62.0687,0.816277
-61.9808,0.996154,0.337039,3,7,0,62.3331,0.811798
-61.9091,0.999996,0.337039,4,15,0,61.9828,0.784971
-62.1758,0.995304,0.337039,3,9,0,62.1924,0.822575
-61.8855,0.997252,0.337039,2,7,0,62.4179,0.801099
-61.9423,0.980491,0.337039,2,7,0,63.0926,0.781121
-61.936,0.999664,0.337039,2,3,0,61.9609,0.781773
-62.3795,0.992071,0.337039,3,9,0,62.4103,0.830217
-61.8729,0.998463,0.337039,2,5,0,62.533,0.796888
-61.9127,0.991717,0.337039,3,9,0,62.3459,0.784486
-61.9787,0.996038,0.337039,2,7,0,62.1641,0.811639
-61.9138,0.998665,0.337039,2,5,0,62.0723,0.805554
-62.1997,0.977733,0.337039,2,7,0,63.2219,0.823593
-61.999,0.987542,0.337039,3,7,0,63.0447,0.813101
-62.0277,0.999461,0.337039,2,3,0,62.0332,0.814983
-61.9675,0.999431,0.337039,1,3,0,62.0625,0.810763
-61.9709,0.999908,0.337039,1,1,0,61.9722,0.811031
-62.0238,0.998852,0.337039,2,3,0,62.024,0.814739
-62.0301,0.999831,0.337039,1,1,0,62.0319,0.815131
-63.0363,0.968969,0.337039,2,7,0,64.1584,0.735778
-63.19,0.99525,0.337039,2,3,0,63.2998,0.731764
-61.9392,0.989562,0.337039,2,5,0,63.9797,0.781443
-61.9014,0.994777,0.337039,2,7,0,62.2743,0.803892
-63.1754,0.95577,0.337039,2,7,0,64.5939,0.849676
-63.2214,0.998954,0.337039,1,1,0,63.2357,0.85055
-63.0091,0.999813,0.337039,2,3,0,63.2635,0.846359
-62.3648,0.989085,0.337039,2,5,0,63.9222,0.829732
-62.0316,0.998429,0.337039,3,7,0,62.5479,0.815219
-62.5101,0.992189,0.337039,3,7,0,62.5486,0.834241
-61.8745,0.990443,0.337039,2,7,0,63.3364,0.797824
-61.8746,0.999997,0.337039,1,1,0,61.8747,0.797875
-61.8785,0.99938,0.337039,2,7,0,61.9121,0.790812
