# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = WSLS_model
# start_datetime = 2024-03-06 10:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpyU5IGk/standata-4f1077b72f55.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-202403061136-2-4cb121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-profile-202403061136-2-0e0b63.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=WSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,winprob,lossprob
# Adaptation terminated
# Step size = 0.237848
# Diagonal elements of inverse mass matrix:
# 0.207443, 0.0835104
-59.3592,0.998941,0.237848,3,7,0,62.8592,1.94316,1.01708
-57.4958,0.999984,0.237848,3,7,0,59.4466,2.67917,1.05936
-57.6457,0.998233,0.237848,3,15,0,57.8169,2.89894,1.37963
-57.6112,0.999751,0.237848,4,15,0,57.9747,2.5947,1.02078
-58.6426,0.985922,0.237848,3,11,0,59.549,2.93507,1.63809
-59.1835,0.996654,0.237848,3,7,0,59.237,3.03052,1.71352
-57.909,0.994721,0.237848,3,15,0,60.6753,3.18652,1.1241
-57.6352,0.995736,0.237848,3,15,0,58.7967,3.02986,1.12203
-57.3741,0.997394,0.237848,3,11,0,58.1264,2.66479,1.19015
-57.5586,0.998349,0.237848,3,7,0,57.5693,2.85602,1.0484
-57.4702,0.999996,0.237848,4,15,0,57.5915,2.72984,1.07203
-57.4762,0.99319,0.237848,4,15,0,58.6887,2.56738,1.28929
-58.0165,0.994228,0.237848,3,7,0,58.0489,2.551,1.50638
-59.3376,0.990332,0.237848,3,7,0,59.4268,2.68245,1.77394
-59.5568,0.998203,0.237848,2,3,0,59.6026,2.6575,1.80518
-59.2437,1,0.237848,4,15,0,59.9196,2.66439,0.66496
-59.5023,0.998557,0.237848,4,15,0,60.4932,2.78449,1.79719
-58.6323,0.999836,0.237848,4,15,0,60.5296,2.37458,0.818187
-59.9819,0.984034,0.237848,3,7,0,60.6711,2.42332,0.597475
-59.2512,0.996656,0.237848,4,15,0,61.9392,3.4618,0.877422
-59.788,0.990832,0.237848,3,15,0,61.3985,2.55116,1.8287
-59.9971,0.998623,0.237848,2,3,0,60.0311,2.56677,1.85889
-59.5215,0.999416,0.237848,4,15,0,60.4416,2.85016,0.631775
-58.6447,1,0.237848,4,15,0,60.2676,2.25984,1.53626
-59.7111,0.977726,0.237848,3,15,0,61.5979,3.74506,1.04891
-59.7773,0.999788,0.237848,2,3,0,59.7819,3.75842,1.04184
-58.4778,0.999614,0.237848,4,15,0,60.2861,3.37696,1.35191
-58.5202,0.999542,0.237848,1,1,0,58.5209,3.38929,1.35615
-58.4911,0.999784,0.237848,4,15,0,59.1984,2.09334,1.20934
-60.8905,0.981545,0.237848,4,15,0,61.5184,3.66523,1.72026
-60.3329,0.989672,0.237848,4,15,0,64.2918,2.06784,0.683228
-58.8999,0.990329,0.237848,4,15,0,62.7608,2.89643,0.726901
-58.7377,1,0.237848,4,15,0,59.1722,2.73686,0.740868
-58.3422,0.990506,0.237848,4,15,0,61.1204,2.6142,1.59458
-59.7121,0.963231,0.237848,4,15,0,63.9617,3.71349,0.995344
-59.038,0.999906,0.237848,3,7,0,60.208,3.59158,1.2758
-60.0113,0.973063,0.237848,3,15,0,64.2884,2.71201,0.565354
-58.4703,0.996526,0.237848,2,5,0,60.5842,2.74833,0.787733
-58.5437,0.999919,0.237848,4,15,0,58.5544,2.73287,0.774113
-58.3239,0.996946,0.237848,3,15,0,59.6223,3.25273,1.42228
-59.8794,0.980265,0.237848,2,7,0,61.1056,3.65033,1.53063
-58.2682,1,0.237848,4,15,0,60.5208,2.61569,0.832268
-58.1562,0.999728,0.237848,3,7,0,58.3476,2.63314,0.854419
-58.6257,0.997883,0.237848,4,15,0,58.9344,2.28605,0.86118
-58.1591,0.997914,0.237848,4,15,0,59.7163,3.24099,1.36431
-57.4214,0.991466,0.237848,3,11,0,59.8561,2.58096,1.22988
-57.4343,0.998793,0.237848,4,15,0,57.6058,2.58059,1.14615
-57.4371,0.999996,0.237848,4,15,0,57.4723,2.84361,1.27222
-57.3676,0.998162,0.237848,2,7,0,57.6854,2.70419,1.21306
-57.6905,0.986497,0.237848,3,11,0,59.0204,2.94253,1.0215
-58.7119,0.989824,0.237848,3,15,0,59.6079,2.11385,1.41938
-58.6712,0.989124,0.237848,3,11,0,60.3134,3.39105,0.984192
-58.4762,0.999845,0.237848,2,3,0,58.7509,3.37164,1.04307
-57.9045,0.999353,0.237848,4,15,0,58.7994,3.02907,0.980307
-57.9306,0.999641,0.237848,1,1,0,57.9316,3.03924,0.976359
-61.0926,0.963919,0.237848,3,7,0,62.7199,3.76502,0.728229
-59.918,0.999814,0.237848,3,7,0,61.3449,3.69608,0.910392
-60.1157,0.998885,0.237848,4,15,0,60.8446,3.56152,0.767245
-58.8222,1,0.237848,4,15,0,61.6174,2.71129,0.727022
-60.2599,0.980983,0.237848,3,7,0,60.8055,2.8448,0.541099
-60.1733,0.99845,0.237848,4,15,0,62.7585,3.73851,0.886578
-60.8634,0.996364,0.237848,3,7,0,61.2299,3.94384,0.929026
-58.3161,1,0.237848,4,15,0,61.5374,2.17127,1.07382
-58.5969,0.994545,0.237848,4,15,0,59.9144,2.67462,1.65002
-57.5068,0.997403,0.237848,3,11,0,59.2551,2.75814,1.05327
-58.4646,0.99037,0.237848,3,7,0,58.6431,3.15371,0.88055
-57.4836,0.999915,0.237848,3,7,0,58.5396,2.72941,1.06411
-57.781,0.996683,0.237848,3,7,0,57.8349,2.51816,0.980516
-58.3886,0.99275,0.237848,4,15,0,58.9917,2.19649,1.40228
-61.0019,0.978471,0.237848,3,15,0,61.7075,3.66968,0.686333
-61.5305,0.994676,0.237848,2,3,0,61.6331,3.65834,0.608619
-60.1362,0.999628,0.237848,3,7,0,62.491,3.82284,0.998464
-60.3106,0.999053,0.237848,2,3,0,60.3664,3.86915,1.00564
-57.7379,1,0.237848,4,15,0,60.4329,3.06214,1.32164
-57.6692,0.992058,0.237848,4,15,0,59.2936,2.41466,1.10836
-57.7157,0.999469,0.237848,2,3,0,57.7275,2.39709,1.09563
-57.4985,0.997636,0.237848,4,15,0,58.194,2.67252,1.34272
-58.1425,0.992909,0.237848,3,7,0,58.2195,2.96754,1.51982
-57.6128,0.979722,0.237848,4,15,0,61.8746,2.74458,1.00407
-57.8791,0.996671,0.237848,3,15,0,58.1338,2.59587,0.928479
-58.2617,0.979385,0.237848,3,15,0,60.4934,2.77099,1.58192
-58.8917,0.994158,0.237848,4,15,0,59.724,3.51463,1.35312
-57.8868,0.999535,0.237848,3,15,0,58.9616,3.19319,1.19335
-58.9097,0.985202,0.237848,2,7,0,60.0129,3.54452,1.30326
-58.3205,0.999709,0.237848,3,7,0,59.0666,3.34765,1.30262
-59.0902,0.993986,0.237848,3,7,0,59.4549,3.60447,1.28325
-58.8257,1,0.237848,2,3,0,59.0903,3.5261,1.28287
-57.9151,0.997595,0.237848,3,11,0,59.685,2.27946,1.15335
-61.1364,0.965653,0.237848,3,15,0,62.0382,2.08598,1.86514
-60.1833,0.998899,0.237848,2,3,0,61.3697,2.07727,1.72092
-58.5353,0.988991,0.237848,3,7,0,61.869,2.54678,1.62404
-58.844,0.997447,0.237848,4,15,0,59.4102,2.60491,0.728951
-58.9957,0.996627,0.237848,3,7,0,59.456,2.42054,0.737809
-58.8063,0.999499,0.237848,3,7,0,59.3287,2.26743,0.832394
-57.7209,0.999387,0.237848,3,15,0,59.0774,2.61092,0.974842
-57.9409,0.9962,0.237848,3,11,0,58.3944,2.67754,1.50479
-57.8661,0.995952,0.237848,4,15,0,58.9283,2.75243,0.921834
-57.9828,0.997992,0.237848,4,15,0,58.3778,3.05715,1.43629
-57.4325,0.998843,0.237848,4,15,0,58.3745,2.87995,1.17819
-57.4679,0.999495,0.237848,4,15,0,57.5544,2.67309,1.32428
-57.8482,0.994778,0.237848,3,15,0,58.2279,3.15234,1.28388
-57.9518,0.972923,0.237848,3,15,0,62.2888,3.17907,1.07798
-57.7457,0.999912,0.237848,4,15,0,58.3412,2.49906,1.40126
-57.4665,0.999742,0.237848,3,15,0,57.8394,2.68435,1.32491
-57.6987,0.992509,0.237848,3,15,0,58.4642,3.09442,1.20666
-57.7288,0.99186,0.237848,3,15,0,59.3416,2.58517,1.42601
-57.6304,1,0.237848,2,3,0,57.7373,2.58193,1.38619
-61.2098,0.964082,0.237848,3,7,0,61.5324,3.39688,1.89141
-61.7966,0.992796,0.237848,2,3,0,62.0896,3.54194,1.90931
-57.7331,0.999098,0.237848,3,15,0,61.9405,2.74806,0.961329
-57.8637,0.989182,0.237848,4,15,0,59.5214,2.88906,1.4631
-58.2238,0.997726,0.237848,3,7,0,58.3307,2.76489,1.57387
-58.1222,0.999974,0.237848,4,15,0,58.3423,2.73289,0.857836
-58.4407,0.991867,0.237848,4,15,0,60.0561,2.14339,1.05595
-58.9427,0.996369,0.237848,4,15,0,59.3381,3.56989,1.2485
-57.7839,0.99446,0.237848,3,15,0,60.3336,3.14181,1.1986
-58.4885,0.995301,0.237848,3,7,0,58.5836,3.35278,1.01425
-58.7871,0.997795,0.237848,4,15,0,59.7138,3.44186,1.40747
-59.2697,0.99071,0.237848,3,7,0,60.2947,3.66193,1.2531
-59.3401,0.998317,0.237848,4,15,0,60.7195,1.95374,1.39919
-58.5957,0.999013,0.237848,4,15,0,60.2357,3.33867,1.44303
-57.7211,1,0.237848,4,15,0,58.9163,2.42054,1.33571
-58.2508,0.995354,0.237848,4,15,0,58.673,2.61969,0.835439
-59.0687,0.991542,0.237848,4,15,0,59.9711,2.28133,0.775034
-58.0782,0.992141,0.237848,3,15,0,60.8187,3.17763,1.38987
-57.6592,1,0.237848,4,15,0,58.2276,3.06083,1.14989
-57.6222,0.99893,0.237848,3,15,0,57.9681,2.42724,1.13458
-61.5957,0.955733,0.237848,3,7,0,62.2296,1.8868,1.80217
-58.529,0.988484,0.237848,3,7,0,63.3567,2.99917,1.60022
-58.2883,0.999981,0.237848,4,15,0,59.4896,2.15989,1.27541
-58.3402,0.993605,0.237848,4,15,0,60.1961,3.20063,0.938812
-59.908,0.992651,0.237848,4,15,0,60.3631,3.80899,1.08231
-60.6209,0.994145,0.237848,3,7,0,61.064,3.88429,0.924602
-60.9118,0.998481,0.237848,2,3,0,60.9576,3.95144,0.924819
-57.6979,0.996148,0.237848,3,15,0,61.8868,2.90863,1.39837
-57.3986,0.994913,0.237848,3,11,0,58.5925,2.83379,1.19984
-57.4523,0.992349,0.237848,4,15,0,58.5559,2.5955,1.11424
-57.4143,0.999601,0.237848,3,15,0,57.5536,2.72474,1.28777
-57.5233,0.998973,0.237848,4,15,0,57.6021,2.52244,1.10666
-58.876,0.985033,0.237848,3,7,0,59.1067,2.01178,1.28974
-60.3108,0.988985,0.237848,4,15,0,62.1097,2.99403,1.88409
-57.5744,0.991896,0.237848,3,13,0,62.0254,2.83355,1.36817
-57.5315,1,0.237848,4,15,0,57.6405,2.6996,1.03926
-58.0814,0.995084,0.237848,4,15,0,58.2897,3.27567,1.23804
-57.878,0.995012,0.237848,3,11,0,59.1795,2.32612,1.3187
-58.5188,0.992983,0.237848,3,15,0,58.938,3.43451,1.25686
-60.5898,0.986172,0.237848,3,7,0,60.8089,3.96281,1.066
-58.9314,0.991177,0.237848,4,15,0,63.4096,2.54235,0.722709
-58.1834,0.999183,0.237848,2,5,0,59.0836,2.61469,0.850461
-57.5438,0.999663,0.237848,4,15,0,58.4678,2.46587,1.23212
-57.554,0.992534,0.237848,3,15,0,58.6471,2.60885,1.04327
-57.5711,0.990952,0.237848,3,15,0,58.8884,2.9601,1.09915
-58.6249,0.98683,0.237848,4,15,0,59.7214,2.95524,1.63044
-58.761,0.998799,0.237848,2,3,0,58.8027,3.00985,1.64366
-58.6472,0.999921,0.237848,2,3,0,58.789,3.00171,1.62365
-58.7528,0.999677,0.237848,4,15,0,59.9236,2.05569,1.33495
-58.7228,0.997603,0.237848,3,7,0,59.3712,2.17537,1.49109
-58.1869,0.99933,0.237848,4,15,0,59.0978,3.3175,1.15824
-57.7988,0.993622,0.237848,3,15,0,59.8119,2.46034,1.0007
-58.2963,0.993327,0.237848,4,15,0,58.8641,2.22945,1.40464
-58.4124,0.999099,0.237848,4,15,0,58.8695,3.30757,0.997661
-58.5536,0.999837,0.237848,4,15,0,59.1507,3.44235,1.129
-58.0453,0.999118,0.237848,4,15,0,59.4014,2.54524,0.894804
-58.6203,0.995889,0.237848,4,15,0,58.879,3.21886,1.53289
-58.4498,1,0.237848,2,3,0,58.6417,3.15497,1.52327
-57.5694,0.994474,0.237848,3,11,0,59.5825,2.86713,1.35488
-57.9132,0.996892,0.237848,4,15,0,58.1082,2.71323,1.49841
-58.0912,0.993774,0.237848,3,15,0,59.3018,3.28348,1.20417
