# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_MemoryBernoulli_model
# start_datetime = 2024-02-26 12:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac265bcf4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-202402261305-2-21ec3d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-profile-202402261305-2-18cddb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_MemoryBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias,beta
# Adaptation terminated
# Step size = 0.178265
# Diagonal elements of inverse mass matrix:
# 0.0391639, 0.0328065
-78.1209,0.996942,0.178265,2,7,0,79.6067,0.138596,0.379907
-78.1397,0.987964,0.178265,3,15,0,79.4158,0.0920877,0.348512
-78.1419,0.999878,0.178265,4,15,0,78.1788,0.119177,0.390011
-79.5099,0.98203,0.178265,3,7,0,79.5568,0.170886,0.556323
-79.7654,0.997911,0.178265,4,15,0,80.4933,0.234469,0.0181749
-79.3932,0.999673,0.178265,3,7,0,79.9833,0.288283,0.0192369
-78.1627,1,0.178265,3,7,0,79.4239,0.320369,0.21065
-78.2452,0.997415,0.178265,3,15,0,78.5484,0.168226,0.223199
-78.0684,0.990133,0.178265,2,7,0,79.2642,0.252015,0.288142
-78.0506,0.998818,0.178265,3,11,0,78.1901,0.202062,0.26029
-78.0576,0.988101,0.178265,2,7,0,79.146,0.243808,0.29058
-78.0291,0.999315,0.178265,2,7,0,78.1291,0.219098,0.274277
-79.0936,0.979548,0.178265,4,15,0,80.4552,0.51588,0.167469
-78.3859,0.998253,0.178265,4,15,0,80.2592,0.393748,0.188379
-78.5984,0.985356,0.178265,2,7,0,79.9362,0.334655,0.0876567
-78.6603,0.991524,0.178265,3,11,0,79.9171,0.449728,0.102845
-78.8027,0.998949,0.178265,3,7,0,78.8474,0.425223,0.0510533
-78.8974,0.99268,0.178265,4,23,0,80.2725,-0.107081,0.483704
-79.2091,0.985825,0.178265,2,7,0,79.9668,-0.145367,0.456528
-78.108,0.995856,0.178265,4,15,0,79.9779,0.11328,0.368368
-81.2654,0.983304,0.178265,4,15,0,82.3399,-0.290683,0.822787
-86.5107,0.936207,0.178265,3,7,0,87.1624,-0.578126,0.456621
-82.9775,0.997751,0.178265,3,7,0,88.6425,-0.544888,0.753511
-78.3983,0.995323,0.178265,4,31,0,87.8219,0.0550684,0.302059
-79.2849,0.987838,0.178265,4,15,0,80.5146,-0.161878,0.47851
-78.2152,0.99818,0.178265,4,31,0,80.9118,0.208968,0.373961
-78.2128,0.999637,0.178265,4,15,0,78.4757,0.0679743,0.406297
-78.3969,0.988259,0.178265,3,15,0,79.9515,0.0042047,0.394829
-79.2817,0.991791,0.178265,4,15,0,80.1414,-0.157562,0.580934
-79.8526,0.996475,0.178265,3,11,0,80.7493,-0.208269,0.668813
-79.411,0.999816,0.178265,3,7,0,79.9446,-0.183439,0.580024
-80.3609,0.983058,0.178265,4,15,0,80.7564,0.013786,0.700449
-80.5215,0.99931,0.178265,4,31,0,81.8389,0.421551,-0.115781
-81.1778,0.990242,0.178265,2,3,0,81.1943,0.418254,-0.155465
-79.2315,0.998471,0.178265,3,15,0,82.5334,0.265146,0.0442661
-79.0725,0.994501,0.178265,3,15,0,82.0516,0.432629,0.0107119
-79.0423,0.998705,0.178265,4,15,0,79.3427,0.525005,0.106558
-79.7679,0.994906,0.178265,4,31,0,80.7055,-0.219352,0.490489
-78.322,0.99924,0.178265,4,15,0,80.3328,0.0278689,0.375033
-78.6289,0.997433,0.178265,4,23,0,79.7188,0.443447,0.107358
